Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
320,30/07/2016,30/07/2016,1,49.69,Double ,104,Bellevue,,98004,Expedia
322,30/07/2016,13/08/2016,1,125,Upscale King,112,Bradenton,Fl,34208,Best Available Rate
325,31/07/2016,15/08/2016,3,224.22,Double ,109,Red Springs,,28377,Booking.com
328,31/07/2016,5/8/2016,1,78.78,Double ,106,Bellevue,,98004,Expedia
329,31/07/2016,4/8/2016,3,282,Double ,108,,,,Best Available Rate
330,31/07/2016,31/07/2016,1,74,Double ,209,,,,Best Available Rate
332,31/07/2016,31/07/2016,1,49.69,Double ,104,Bellevue,,98004,Expedia
333,31/07/2016,31/07/2016,2,144.43,Double ,206,Chichester,,po19 1sn,Booking.com
334,1/8/2016,6/8/2016,1,105.04,Double ,106,Naples,,34113,Booking.com
335,1/8/2016,1/8/2016,1,74.74,Double ,108,,,,Expedia
339,1/8/2016,23/09/2016,2,204,Upscale King,112,Jacksonville,FL,32210,Best Available Rate
345,2/8/2016,5/8/2016,1,109,Upscale King,112,,,,Best Available Rate
348,3/8/2016,13/08/2016,5,321.73,King,103,Bellevue,,98004,Expedia
351,3/8/2016,1/10/2016,7,483.3,Double ,101,Bellevue,,98004,Expedia
352,3/8/2016,3/8/2016,1,74,King,205,Tampa,Fl,33607,Best Available Rate
1665,17/11/2016,18/11/2016,1,88,Double ,206,Tampa,FL,33606,Best Available Rate
354,3/8/2016,4/8/2016,1,69,Double ,210,,,,Best Available Rate
355,3/8/2016,8/9/2016,2,118.37,Double ,206,Bellevue,,98004,Expedia
357,4/8/2016,6/8/2016,1,110.09,Upscale King,112,Orlando,,32812,Booking.com
358,4/8/2016,5/8/2016,1,63.63,Double ,104,Bellevue,,98004,Expedia
360,4/8/2016,6/8/2016,1,63.63,Double ,101,Bellevue,,98004,Expedia
362,4/8/2016,15/08/2016,3,179.37,Premier King,105,Bellevue,,98004,Expedia
432,9/8/2016,9/8/2016,1,62,Premier King,105,,,,Best Available Rate
365,4/8/2016,4/8/2016,1,84.74,Double ,106,Nothomb,,6717,Booking.com
366,4/8/2016,6/8/2016,1,79,King,103,Springhill,Fl.,34609,Best Available Rate
368,4/8/2016,5/8/2016,1,79,King,205,Tampa,Fl,33611,Best Available Rate
369,4/8/2016,5/11/2016,1,89.39,Premier King,110,Bellevue,,98004,Expedia
575,18/08/2016,18/08/2016,1,59,Double ,206,Bellevue,,98004,Best Available Rate
371,5/8/2016,5/8/2016,1,105.04,Sweetheart King,102,Hernando,,34442,Booking.com
372,5/8/2016,5/8/2016,1,54.74,Double ,109,Bellevue,,98004,Expedia
373,5/8/2016,5/8/2016,2,149.48,Double ,208,Titusville,,32796,Booking.com
375,5/8/2016,6/8/2016,1,54.74,Double ,109,Bellevue,,98004,Expedia
376,5/8/2016,3/10/2016,1,81.81,Double ,210,Bellevue,,98004,Expedia
